Number of nodes,Number of edges,Edge probability,Algorithm,Results,Number of basic operations,Execution time,Number of solutions tested
11,12,0.125,Exhaustive Search,"[[9, 10], [8, 10], [7, 8], [6, 9], [5, 9], [4, 9], [3, 6], [2, 8], [1, 9], [1, 7], [1, 3], [0, 5]]",2279,0.03560042381286621,2036
11,12,0.125,Maximal Clique - Simple Greedy,"[2, 8]",3,8.225440979003906e-05,11
11,12,0.125,Maximum Clique - Branch Bound Greedy,"[7, 8]",Not used,0.00030732154846191406,59
11,23,0.25,Exhaustive Search,"[[1, 4, 7, 8]]",2776,0.03414511680603027,1838
11,23,0.25,Maximal Clique - Simple Greedy,"[0, 4, 6]",5,8.916854858398438e-05,11
11,23,0.25,Maximum Clique - Branch Bound Greedy,"[1, 4, 7, 8]",Not used,0.00012063980102539062,60
11,35,0.5,Exhaustive Search,"[[3, 5, 7, 8, 10]]",3778,0.032004594802856445,1487
11,35,0.5,Maximal Clique - Simple Greedy,"[0, 1, 3, 6]",10,7.534027099609375e-05,11
11,35,0.5,Maximum Clique - Branch Bound Greedy,"[3, 5, 7, 8, 10]",Not used,0.0001163482666015625,61
11,43,0.75,Exhaustive Search,"[[0, 5, 6, 7, 8, 10], [0, 4, 5, 7, 9, 10], [0, 4, 5, 6, 7, 10], [0, 1, 5, 6, 8, 10], [0, 1, 4, 5, 9, 10], [0, 1, 4, 5, 6, 10]]",3935,0.025671958923339844,1029
11,43,0.75,Maximal Clique - Simple Greedy,"[0, 1, 4, 5, 6, 10]",25,5.602836608886719e-05,11
11,43,0.75,Maximum Clique - Branch Bound Greedy,"[0, 4, 5, 6, 7, 10]",Not used,0.0001327991485595703,62
12,17,0.125,Exhaustive Search,"[[6, 9, 11]]",5792,0.07343888282775879,4018
12,17,0.125,Maximal Clique - Simple Greedy,"[0, 10]",3,6.413459777832031e-05,12
12,17,0.125,Maximum Clique - Branch Bound Greedy,"[6, 9, 11]",Not used,0.0005252361297607422,67
12,22,0.25,Exhaustive Search,"[[7, 8, 9], [5, 7, 9], [3, 10, 11], [2, 7, 10], [2, 7, 8], [2, 6, 10], [2, 3, 10], [0, 8, 9]]",4762,0.0707249641418457,4018
12,22,0.25,Maximal Clique - Simple Greedy,"[2, 3, 10]",4,6.031990051269531e-05,12
12,22,0.25,Maximum Clique - Branch Bound Greedy,"[2, 7, 10]",Not used,0.00039696693420410156,70
12,37,0.5,Exhaustive Search,"[[0, 2, 6, 7, 9], [0, 2, 4, 6, 9]]",8054,0.06952095031738281,3307
12,37,0.5,Maximal Clique - Simple Greedy,"[0, 2, 4, 6, 9]",15,8.606910705566406e-05,12
12,37,0.5,Maximum Clique - Branch Bound Greedy,"[0, 2, 6, 7, 9]",Not used,0.00012493133544921875,71
12,49,0.75,Exhaustive Search,"[[3, 6, 8, 9, 10, 11], [3, 4, 8, 9, 10, 11], [2, 3, 6, 8, 10, 11], [2, 3, 4, 8, 10, 11], [1, 4, 8, 9, 10, 11]]",5516,0.05473899841308594,2512
12,49,0.75,Maximal Clique - Simple Greedy,"[0, 1, 5]",10,6.413459777832031e-05,12
12,49,0.75,Maximum Clique - Branch Bound Greedy,"[3, 4, 8, 9, 10, 11]",Not used,0.00012826919555664062,72
13,21,0.125,Exhaustive Search,"[[9, 11, 12], [3, 5, 11], [3, 5, 10], [1, 10, 12], [1, 6, 12]]",9906,0.1492290496826172,8101
13,21,0.125,Maximal Clique - Simple Greedy,"[1, 10, 12]",5,5.412101745605469e-05,13
13,21,0.125,Maximum Clique - Branch Bound Greedy,"[1, 6, 12]",Not used,0.00014710426330566406,73
13,27,0.25,Exhaustive Search,"[[7, 9, 11, 12], [5, 7, 9, 12]]",9592,0.1536853313446045,7816
13,27,0.25,Maximal Clique - Simple Greedy,"[1, 4]",3,8.296966552734375e-05,13
13,27,0.25,Maximum Clique - Branch Bound Greedy,"[5, 7, 9, 12]",Not used,0.00013375282287597656,74
13,46,0.5,Exhaustive Search,"[[2, 3, 9, 11, 12], [1, 2, 3, 9, 12]]",19028,0.14369940757751465,7227
13,46,0.5,Maximal Clique - Simple Greedy,"[0, 1, 2, 6]",17,0.00010585784912109375,13
13,46,0.5,Maximum Clique - Branch Bound Greedy,"[2, 3, 9, 11, 12]",Not used,0.002820253372192383,91
13,59,0.75,Exhaustive Search,"[[6, 7, 8, 9, 10, 11, 12], [5, 6, 7, 8, 10, 11, 12]]",10262,0.10316967964172363,4097
13,59,0.75,Maximal Clique - Simple Greedy,"[0, 2, 5, 8, 12]",18,8.893013000488281e-05,13
13,59,0.75,Maximum Clique - Branch Bound Greedy,"[6, 7, 8, 9, 10, 11, 12]",Not used,0.0017418861389160156,102
